全部,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,33027186.91,54183444.02,57095657.69,33657994.63,37313222.08,87905512.41,40919144.08,44827498.47,39150664.16,428080324.45,
10--20,37936959.39,60465636.2,89825891.05,43417540.98,51334817.88,95848852.08,51194365.22,61376084.66,56175373.92,547575521.38,
20--30,27622560.3,44257987.89,54431657.67,37381277.45,39461448.15,74685768.11,45106144.74,50155976.74,52264865.38,425367686.43,
30--40,19600942.95,28988802.08,34901757.33,23706945.12,30567510.59,57037236.44,26471154.32,31545104.76,30396664.36,283216117.95,
40--50,12222291.26,20856532.75,34517178.34,21581804.83,23386680.53,42663371.98,28761597.79,37177923.92,31297706.51,252465087.91,
50--60,10584248.49,20768381.57,30963485.23,13816199.2,17566909.9,31919430,15234020.51,21968206.33,17520966.54,180341847.77,
60--70,10154883.67,12601587.79,17470202.53,11337573.15,14928740.74,33131576.17,15364487.99,15216239.86,15932942.3,146138234.2,
70--80,6574984.33,9514246.78,15537142.52,8644611.6,8535365.09,15801141.89,9743232.36,10478563.7,14258887.54,99088175.81,
80--90,4338262.29,4761467.41,10188512.7,7133836.24,7274111.38,8952021.41,6211138.56,13669029.75,6945192.72,69473572.46,
90--100,2779799.85,4617043.9,9284464.86,3879390.54,6031874.99,5898920.46,2693872.73,4091302.89,5363265.13,44639935.35,
100以上,17875544.41,23993714.36,27674797.83,21357928.31,20942244.95,27239299.91,20018268.18,24361518.41,22917450.16,206380766.52,

日用,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,8782545.27,14629123.41,14597292.55,9335700.65,9926205.73,22517839.58,10025186.98,11219154.52,9339173.11,110372221.8,
10--20,10480474.77,17346692.11,23627523.78,11023140.72,14377734.36,32704178.13,14874461.25,17993189.29,18620947.67,161048342.08,
20--30,12729018.22,20500089.13,25305841.88,16804746.35,16421478.37,35449592.78,21686833.24,23860266.78,24458177.69,197216044.44,
30--40,9153785.08,12603849.97,15190783.29,8902778.91,12842851.16,28833123.87,11782283.29,12711577.9,11910146.2,123931179.67,
40--50,5280597.82,10859005.8,18238448.06,11239322.23,12755752.88,22713352.57,15698830.6,19925201.19,17149807.65,133860318.8,
50--60,4589084.02,10264164.07,16599102.38,4291879.47,6816120.07,13306881.49,4175951.22,6916585.48,6189897.07,73149665.27,
60--70,3015058.91,1637715.27,3159006,2058887.82,4104176.91,15224878.26,3877132.79,3484735.56,2754684.66,39316276.18,
70--80,2224549.57,3290825.94,5369391.11,2590750.23,2439201.35,3395819.39,3918166.94,3417829.36,5628292.13,32274826.02,
80以上,3771461.69,5682022.18,9623572.09,4622330.84,5509023.4,9382644.3,4672447.8,9232825.42,7208151,59704478.72,

夜用,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--5,1658565.93,2562998.49,2930028.87,1653377.88,1783568.01,3697951.2,2288907.27,2386361.17,2272079.44,21233838.26,
5--10,12282098.43,20931076.08,20964094.84,12072399.22,13844758.15,35784961.8,14744937.42,17568864.34,14583419.36,162776609.64,
10--15,16327230.55,24937572.07,34714708.06,17018883.59,19290566.72,33106159.78,19422258.69,21991813.73,18797736.79,205606929.98,
15--20,3993109.76,6919136.69,15960966.75,5363344.43,6830111.31,16856681.55,6052128.43,9026306.27,7267427.93,78269213.12,
20--25,4258012.4,6738504.26,8675460.24,6146052.42,6584872.09,9529892.45,7116080.2,7975423.15,10142471.45,67166768.66,
25--30,3084906.33,5263875.3,8752609,4125150.97,5004468.15,9862614.12,5144008.78,5979632.92,5016929.65,52234195.22,
30--35,2270958.48,5137889.21,4543854.63,3192723.01,4005209.97,7381719.84,3135176.8,3828826.13,4028366.95,37524725.02,
35--40,1826569.64,2494493.36,3677562.58,2105421.22,3342591.3,2632663.09,2173492.88,2645042.65,3091930.57,23989767.29,
40--45,969524.8,1080346.51,4172978.51,1399414.82,1746283.67,5225930.51,1654704.17,3098129.57,2730869.56,22078182.12,
45--50,1123482.37,1284589.45,2473571.23,1464452.1,1413529.6,2484995.25,2369093.33,3200696.66,1445288.85,17259698.84,
50以上,6670428.82,11060952.2,19370573.31,9429466.6,11252449.04,21183127.96,8658026.22,14386185.99,13177144.76,115188354.9,

迷你,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--5,625239.42,1372673.84,1565985.56,667020.63,855819.28,1813761.43,779035.35,838826.28,809000.09,9327361.88,
5--10,2416161.13,3764962.51,4580861.89,1786966.08,2144498.22,6559461.03,2836897,2860515.35,2937619.1,29887942.31,
10--15,773139.23,1449075.13,3209102.83,523012.07,1345313.77,930876.76,995466.32,1876377.13,2041945.6,13144308.84,
15--20,466701.54,612110.22,603540.87,396764.96,680412,918914.99,701324.69,971076.51,572899.66,5923745.44,
20--25,331883.57,667299.51,727444.5,655400.25,514410.08,857930,792265.23,689163.41,848510.81,6084307.36,
25--30,70813.28,103684.52,284711.88,314562.76,933996.18,493849.5,383747.63,518091.75,795288.62,3898746.12,
30--35,67210.08,18771.85,96168.22,42655.08,58672.71,184707.23,80634.21,94787.11,131203.46,774809.95,
35--40,116910.51,118601.73,413074.45,389485.04,195602.76,766651.21,226108.5,205641.39,184261.87,2616337.46,
40--45,32554.98,158518.48,254480.58,149806.41,171973.3,45453.74,236308.37,281069.13,292882.35,1623047.34,
45--50,104729.32,67852.9,57360.71,36627.14,120729.35,73182.54,175356.1,252852.11,328411.73,1217101.9,
50以上,281650.06,284603.61,715900.72,464630.79,400043.96,656434.31,303818.84,385444.59,428566.29,3921093.17,

裤型,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,481716.48,556437.58,881399.75,410900.5,98257.09,124566.56,108055.24,122514.4,90923.38,2874770.98,
10--20,260837.51,441378.46,310419.12,158820.06,66342.1,68468.17,284020.19,120258.26,131605.1,1842148.97,
20--30,233664.2,276452,181258.01,301304.61,89547.71,93343.47,76045.26,160340.03,161555.28,1573510.57,
30--40,495334.14,925694.29,1376888.78,871581.65,888315.16,3072182.11,482902.41,481453.57,512737.79,9107089.9,
40--50,511789.66,467704.33,911331.74,803874.5,524033.09,2517976.46,453130.1,1134606.03,761723.14,8086169.05,
50--60,253814.82,1001976.58,2057414.79,1110268.84,918127.34,917521.04,1508431.71,2206949.76,2025571.85,12000076.73,
60--70,816674.18,859995.92,380879.78,386950.24,1186005.65,2699772.14,1029232.05,799948.85,1080016.94,9239475.75,
70--80,809658.74,684098.73,1303288.04,838937.81,838427.02,1727148.99,393108.71,802053.41,1016736.51,8413457.96,
80以上,275697.5,327449.59,909838.47,717273.84,788068.82,76746.9,1132037.8,1203014.66,1324825.74,6754953.32,

组合,
,1701,1702,1703,1704,1705,1706,1707,1708,1709,YTD,
0--10,6008577.15,11840059.13,16146972.41,8276456.51,11010842.45,24786547.16,13190447.63,15543141.8,14478250.87,121281295.11,
10--20,10437681.89,17713784.88,28072859.34,14050771.87,19163288,39825194.78,19137367.77,25174065.95,25899290.83,199474305.31,
20--30,10052506.01,17518809.95,24055921.8,14702689.05,15812777.88,34102343.84,18399025.75,20671182.86,22927855.74,178243112.88,
30--40,9138060.28,15322247.47,20212817.37,10828827.71,15401254.33,37587761.93,13727097.36,15570655.28,16681161.03,154469882.76,
40--50,8410318.42,15258545.25,22654035.87,14936101.55,15885650.23,33124753.56,19729726.19,26321811.71,20658299.24,176979242.02,
50--60,7644178.59,16045523.41,24692266.89,9027516.46,11696947.1,15876894.92,9050795.9,12847376.03,11313071.92,118194571.22,
60--70,7474738.65,8747056.08,9937895.86,6034034.79,8958401.82,21725965.44,9094041.99,7787700.26,8470022.48,88229857.37,
70--80,4397670.61,5930998.19,9774513.82,4876550.84,4943355.53,9501106.3,5020757,6215800.72,7776128.24,58436881.25,
80--90,2853821.07,3141076.94,5560795.71,4329533.96,3422813.93,5294317.67,3642676.23,7263113.88,3570867.87,39079017.26,
90--100,1695872.06,2805722.14,5256958.54,1154399.24,3138792.7,3069201.41,1042270,1275683.4,1589235.98,21028135.47,
100以上,7931141.57,11189443.13,9251053.99,7953491.78,7024775.48,10256162.58,7676748.47,9360979.54,8222461.89,78866258.43,


销售额,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1701,1702,1703,1704,1705,1706,1707,1708,1709,
ABC,7446219.07,5396422.43,13142766.36,7439856.15,9096910.78,16630804.3,10137023.99,9418000.53,9973521.4,10356351.58,36753678.64,13283710.87,7284995.26,13378892.6,21297049.99,9938074.36,11268375.17,21946517.18,12051082.42,13291442.58,13129330.33,
高洁丝,5463082.9,4511451.78,8441188.95,4460541.15,4656804.44,7642347.03,5553459.84,4621268.67,5936689.72,4822959.06,31671025.25,7003908.15,4216953.36,5552736.44,10124314.77,3553827.2,8534656.57,18375818.44,8273528.82,10434387.28,10495618.16,
KAO/花王,4128210.76,3341661.22,7825324.83,4246669.91,4335650.37,8617280.83,5358815.8,4991568.35,4884696.6,6580482.31,29927633.05,5860520.91,3916103.19,5319047.39,8100216.66,3951268.9,4982382.02,13691552.44,5226524.59,5746071.85,6070826.93,
Elis/怡丽,2534845.53,1828036.09,4999710.2,1930450.63,1934436.73,4285375.52,2689118.56,2688204.84,2546644.69,2469938.97,11222764.45,3553543.23,1586263.07,3118336.49,5323590.25,1432253.74,2715672.75,7694470.62,3218276.68,4192220.54,4203688.99,
Purcotton/全棉时代,2448791.23,695574.81,3153632.64,1335340.31,1889597.06,7162334.77,1373356.68,1660401.23,3548677.45,1876174.47,19659553.46,5886367.75,1399000.69,6442971.21,6795158.54,3761585.19,6552866.28,12987241.03,1033620.29,8532517.71,4245362.95,
SOFY/苏菲,12275498.91,9391910.59,18474459.5,10059326,11742059.87,18570509.64,14945825.47,15554603.44,15890846.55,18009426.41,72168364.17,22259814.82,11120963.91,17689215.13,27233265.14,13080804.56,15840663.48,33308829,16612608.69,21444482.73,24348639.26,
Free/飞,1285478.24,1327385.7,3233173.76,2335245.91,2463520.53,2409596.93,2272645.41,2332059.99,1985422.86,1259584.71,5462064.44,1516694.47,1147777.27,2127011.08,5828938.88,3407560.84,3212695.08,4859711.18,2898771.7,3714400.87,4043396.81,
Ladycare/洁婷,5178169.03,3258346.7,6653933.35,3317380.25,4883767.58,5778453.62,5032412.65,7365915.49,8428811.65,6589756.1,23639034.31,11253974.66,4322731.24,8418477.71,10350441.27,7294685.91,7211715.81,11063535.14,7221762.33,8362551.65,8793189.1,
SPACE7/七度空间,9720083.86,7494951.2,15224068.12,8695397.73,10771235.36,14477083.11,13392959.98,15390755.6,20665159.04,22707781.41,59131716.37,20434934.21,10847182.49,20879003.18,31006885.25,15165569.38,20046258.67,41588171.57,22363224.17,26184992.66,22399148,
VIA/薇尔,518523.65,398539.98,700432.63,524401.16,421560.34,814873.17,1234425.79,1494256.78,1776868.27,1615326.52,3571055.74,3118773.33,2054301.87,1672640.47,2559428.72,1212646.92,1353943.69,1389075.93,716315.61,1006561.46,1476558.63,
其他品牌,27838797.48,21412660.69,40118265.36,25788225.7,31188039.75,42392246.63,35052735.37,35204054.9,40285168.17,40348437.13,119151019.37,48415445.97,28148293.95,40914934.87,46996802.13,33372096.76,34739669.93,68245327.06,40095238.99,45121882.1,42380886.93,

销量,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1701,1702,1703,1704,1705,1706,1707,1708,1709,
ABC,279492,205319,519345,306827,379720,698389,415412,356855,409202,380777,1321162,489050,294085,558722,887579,428695,543986,1082760,581017,634740,671505,
高洁丝,311635,253949,475552,251462,263952,422533,318952,248639,310014,247134,1688798,339815,207286,318257,551540,215154,497334,1264880,563975,595939,615776,
KAO/花王,98361,76863,202997,103382,104788,211640,130876,124990,123467,166133,755469,153574,119064,176972,236394,98128,156678,436769,159853,173191,185298,
Elis/怡丽,116015,90287,230085,107730,107080,223233,142512,146300,130425,168703,515369,227510,118519,138964,210400,80454,154238,501096,212312,251981,293431,
Purcotton/全棉时代,34980,16160,53526,33917,50549,116281,32862,39887,59368,35893,343852,98302,31213,123013,106941,70381,107203,246102,23355,149142,94766,
SOFY/苏菲,527342,460176,817620,446511,519750,760534,616282,623944,618847,630197,2787476,737508,369553,602496,981347,421523,510612,1282432,579224,813227,797418,
Free/飞,61179,62656,170182,127684,132528,116120,120073,119407,90969,49022,258818,59376,53686,105669,395645,170204,178800,314019,179132,242015,274419,
Ladycare/洁婷,221325,152106,283130,143209,208406,291699,218658,326073,407249,286913,1359156,516775,193054,420127,594313,356105,351856,553296,353916,450730,525341,
SPACE7/七度空间,445919,337837,695887,436364,538972,680868,626196,767672,1022153,1172060,3142046,1081665,577368,1218992,1631993,889740,1317431,2431154,1333500,1531957,1302178,
VIA/薇尔,73870,50630,92400,62410,51408,80249,111861,134947,161258,146778,325170,212477,113296,119957,228484,116119,126644,112804,47539,87200,120126,
其他品牌,857194,719100,1462061,902818,1241805,1562895,1400156,1428669,1648365,1667682,4074971,1744867,1019565,1554875,1861081,1270473,1323790,2595392,1580366,1832779,1750332,

